iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
31,15,2,utility_2,multiply,spearman,0.04360902255639097,0.04360901204851062
51,15,4,utility_1,add,spearman,0.07969924812030074,0.0796990341963339
2,15,3,utility_3,add,kendall,-0.15789473684210525,-0.15788824863728226
50,15,2,utility_3,add,kendall,-0.010526315789473684,-0.0105263157808583
5,15,4,utility_2,multiply,spearman,0.24812030075187969,0.24805889227844075
18,15,2,utility_3,multiply,spearman,0.09323308270676692,0.09323261443393008
18,15,2,utility_1,add,spearman,-0.48872180451127817,-0.48700956218202984
47,15,3,utility_2,multiply,kendall,0.06315789473684211,0.06315782783021072
16,15,4,utility_3,multiply,kendall,-0.1473684210526316,-0.14736382085161526
18,15,3,utility_3,add,kendall,0.2631578947368421,0.26307569599977987
9,15,2,utility_3,multiply,spearman,-0.10075187969924812,-0.10075118993164409
53,15,3,utility_1,add,spearman,0.5067669172932331,0.50472732488973
12,15,3,utility_3,multiply,spearman,-0.021052631578947364,-0.0210526313032856
20,15,2,utility_1,multiply,spearman,0.08872180451127819,0.08872143898407647
57,15,4,utility_3,add,spearman,0.19248120300751878,0.19246380667598942
28,15,4,utility_3,multiply,spearman,0.6466165413533834,0.6401052279365952
35,15,2,utility_2,multiply,kendall,0.28421052631578947,0.2840902221944039
25,15,2,utility_3,multiply,spearman,0.17744360902255638,0.17743200439457146
21,15,3,utility_1,add,kendall,0.1368421052631579,0.13683892627378003
14,15,3,utility_1,add,kendall,0.06860182190997455,0.06860172077410476
17,15,4,utility_3,add,spearman,0.23458646616541348,0.234539972577723
43,15,3,utility_3,add,spearman,-0.21954887218045113,-0.219515411279098
36,15,4,utility_3,multiply,kendall,-0.031578947368421054,-0.03157894527550118
43,15,4,utility_1,add,kendall,0.0,0.0
5,15,3,utility_1,add,spearman,0.24360902255639094,0.2435529551680633
16,15,4,utility_1,add,spearman,-0.09022556390977443,-0.09022516637342368
21,15,3,utility_1,multiply,kendall,0.0736842105263158,0.07368406598423834
4,15,2,utility_1,add,spearman,0.14285714285714285,0.1428532032294878
42,15,2,utility_3,add,kendall,0.15789473684210525,0.15788824863728226
15,15,2,utility_1,add,kendall,0.005277063223844196,0.005277063223571383
23,15,3,utility_3,add,spearman,-0.0781954887218045,-0.07819529421658951
20,15,4,utility_2,add,kendall,-0.06315789473684211,-0.06315782783021072
7,15,2,utility_3,multiply,kendall,0.4105263157894737,0.4097923815022709
53,15,2,utility_2,multiply,kendall,0.06315789473684211,0.06315782783021072
3,15,3,utility_1,add,kendall,-0.07915594835766294,-0.07915574162046679
12,15,4,utility_2,multiply,kendall,-0.042105263157894736,-0.04210525434062847
23,15,4,utility_1,multiply,spearman,-0.037593984962406006,-0.03759397995865239
10,15,2,utility_2,add,kendall,-0.12631578947368421,-0.12631365701011676
1,15,2,utility_3,add,spearman,0.018045112781954885,0.01804511265441101
13,15,2,utility_2,add,kendall,0.021052631578947368,0.021052631303285604
