name,WRKY22,MPK4,FLS2,MKK2,PR1,MEK1,MKK4,MKK3,WRKY25
GSM435703,10.10863969,4.607425955,10.96475031,9.247775818,10.91045119,10.95506143,11.21196324,10.69812791,9.778009279
GSM435704,10.43097963,5.737473993,10.47856892,7.768774474,10.79456765,10.680645,10.50558454,8.440212467,10.07711443
GSM435705,9.907376767,5.754988897,10.32015133,8.379157338,10.49732315,10.76494984,10.64156292,11.17944732,10.32826472
GSM435706,9.489729018,5.580266631,11.02287124,9.166064202,9.901747602,11.10581601,10.746282,10.86171644,9.859314499
GSM435707,9.59937301,5.874250579,10.62244245,8.134096127,10.84540847,10.68733304,9.533764837,7.576221852,9.70088104
GSM435708,9.451559443,6.56203364,10.7599365,8.317122205,10.25792216,10.48108816,9.016081074,10.62674407,9.729944756
GSM435709,8.159469559,6.053773975,9.631176213,7.934241459,9.209696602,10.20858454,8.144921081,8.149284658,9.691809162
GSM435710,7.670953654,5.944895065,10.61832011,9.033678475,9.337038388,10.48718207,8.957582235,11.06111298,9.387777968
GSM435711,7.084743621,5.834853651,10.71723403,8.869104619,9.197708463,10.6867898,9.198429735,11.76792968,9.293148315
GSM435712,9.354166903,5.348737047,10.45095763,9.016105165,10.30141567,10.29249209,10.23257315,7.932736655,10.16367318
GSM435713,9.02769799,5.989647413,11.29310038,9.417955431,9.855444433,11.04145051,8.969511183,11.46723527,9.949270361
GSM435714,8.393276725,5.780406426,10.9394495,9.422906914,9.709191825,10.89931631,9.000087331,11.6282993,9.542413657
GSM435715,8.715686694,6.343095748,10.40923029,8.120430847,10.2059485,10.68255039,8.801631459,8.289174271,9.91227974
GSM435716,8.103552724,5.64010738,10.89420038,9.128147975,9.566877415,10.9316769,8.857717474,11.46671931,9.468303427
GSM435717,7.227239422,5.641740964,10.96972484,8.87557531,8.787647009,10.69804581,8.740095764,11.41003201,9.306926744
GSM435718,6.628759397,5.962591628,8.702304278,8.468249027,6.746630902,9.121702398,7.349227944,9.941257043,7.520213108
GSM435719,5.591107335,5.585315692,9.403319796,8.728061351,4.094137008,9.641029343,7.982128024,11.63863355,6.718625044
GSM435720,6.498166984,5.857617786,9.79465645,9.309203981,5.170226047,9.639471385,8.225953593,12.04730382,7.863081805
GSM435721,6.220614886,5.45326938,9.20166479,8.782902172,6.070871486,9.153453439,7.812732315,11.65349448,8.27827918
GSM435722,5.457870627,5.444304587,9.939916709,8.806890515,4.908405642,9.764108167,8.762806318,12.20560733,7.791753236
GSM435723,6.408152882,5.893735203,9.940163479,9.248328069,4.43333229,9.446525734,8.899021629,12.70716827,8.155492833
GSM435724,8.188168558,5.307754306,9.930672442,8.940653168,8.298523592,9.522226752,10.0416346,7.277448667,9.302490404
GSM435725,8.800624878,5.538320299,9.984823156,9.077933389,7.671512482,9.805584558,9.553670377,7.174759168,9.16319615
GSM435726,7.525670118,4.971411086,9.233837049,7.575777821,6.722479864,9.149172126,9.213275357,6.316839792,7.677408498
GSM435727,8.698190991,4.845184289,9.761846679,8.82814246,9.223031945,9.354870943,10.011015,6.562354289,9.227617988
GSM435728,8.940965308,5.012593245,9.683232821,8.598741666,7.986048917,9.449467751,9.488892462,7.29510614,9.226014565
GSM435729,8.320918319,4.931684212,9.286086129,7.704930394,7.896891923,9.288629308,9.897927802,7.751316963,8.446672501
GSM435730,7.155615839,5.402063178,9.745698707,8.460624336,5.579807918,9.443589164,8.373960283,9.769644166,8.25475568
GSM435731,7.084459305,6.413362844,9.570909082,8.80469341,4.236273103,9.803141347,6.838948538,10.67268056,7.264150777
GSM435732,7.431669816,5.604688749,9.055181256,7.750415393,6.158170856,9.28140734,8.513009728,7.516419778,7.496789268
GSM435733,7.145974608,6.017949136,9.874096081,8.755710026,5.631873898,9.988137612,8.80205657,11.71495233,8.200902892
GSM435734,6.744891789,5.813338279,9.821366528,8.477468692,5.601398268,9.321032225,8.800989869,11.8285153,7.577550726
GSM435735,6.835875902,5.472136468,9.925343884,8.961710778,5.496914294,9.778959751,9.144607811,12.29074305,8.137935628
GSM435736,7.485086082,5.994878523,10.37075848,9.618885764,5.512478046,9.935391283,9.786501927,12.95239533,8.424351812
GSM435737,7.63713809,5.651677122,10.46688965,9.427040392,5.584320798,9.951050046,9.676166488,13.0654243,8.284841506
GSM435738,7.694460049,5.7481521,10.43019112,9.449693708,5.655027415,10.30867527,9.378138152,13.62038098,8.698762297
GSM435739,8.563811529,6.733895633,9.633841652,7.382523883,12.24565148,10.5486358,8.473819644,8.188430637,10.10362235
GSM435740,8.677449276,6.230672699,9.833163272,7.460389099,12.1694454,10.73966378,8.260512114,8.535943377,9.548232373
GSM435741,9.344644969,6.685182005,10.72641999,7.824799076,12.62596577,11.699219,9.626514991,6.829013221,10.41887826
GSM435742,8.074959222,6.744773251,9.372756845,6.877741535,11.97221786,10.22967752,7.970805464,7.996958074,9.904981385
GSM435743,8.021026516,6.219369266,9.390731007,6.493661413,11.82990804,10.66238225,8.88945737,8.209168447,9.908585892
GSM435744,8.437919421,6.558505689,10.35651127,7.355896612,12.31239948,11.63667421,10.11201532,6.930222428,10.83804064
GSM435745,10.11243792,6.019946788,10.70833935,7.849410033,12.38756691,11.39894718,11.51121043,7.728616768,11.13372002
GSM435746,9.741795525,5.989413584,10.61201049,7.698479713,12.29648109,11.40507566,11.47059363,8.301964598,10.79226386
GSM435747,8.307270306,7.189736426,10.48037124,7.144501274,12.55490849,11.50248742,9.708509649,7.57766471,10.83728629
GSM435748,9.470527538,6.957933335,11.07796275,7.984381991,12.35070548,11.71404631,10.64372187,8.199082168,10.86950138
GSM435749,9.102615649,6.627289236,10.72225418,7.67967132,12.13427662,11.79722949,10.20261165,8.072453528,10.52277009
GSM435750,8.012866042,7.353321337,10.27872717,6.756231041,12.29403665,11.1282819,8.808051505,7.069475333,10.49650873
GSM435751,8.721279353,6.61418017,10.57705363,8.425168087,12.43652782,11.47308022,9.847428734,8.692322866,10.74654589
GSM435752,8.933322013,6.805082188,10.91599103,8.699903352,12.13953745,11.66646726,9.988268307,10.27032085,10.53179119
GSM435753,8.405999425,7.008044482,10.50612191,7.854487491,12.21578949,11.35724848,9.784103,10.21217359,10.58283531
GSM435754,8.3037282,7.179906251,10.70530493,8.241022097,12.61782309,11.36562583,8.952084297,7.634313947,10.79744414
GSM435755,8.179759265,7.045531634,10.5325974,8.030144045,12.3575161,11.60496936,9.280990836,9.009679987,10.57965576
GSM435756,8.969843121,6.860344161,10.6625973,8.355828262,12.35313373,11.60619076,9.606911291,10.1424258,10.60787642
GSM435757,8.098509148,7.065202186,10.22641969,7.776780037,12.22649449,11.18272226,8.668919069,7.022368189,10.38684337
GSM435758,8.143480177,7.382254641,10.43681741,8.055543811,11.85948597,11.25797594,8.616418181,9.380431661,10.30457565
GSM435759,7.988254821,7.184406824,10.37288296,7.950492197,12.01829202,11.23445339,8.814762072,11.03731306,10.31461303
GSM435760,8.657713707,6.682068213,10.34934583,7.917834516,12.302162,11.44155565,9.728159567,7.942957595,10.80034398
GSM435761,8.253218073,7.115130337,10.50110575,7.820236064,11.85940243,11.75569541,10.33270684,7.733849411,10.67346626
GSM435762,7.534420423,6.866323892,10.38351382,7.776780037,11.58166036,11.44670601,10.38092302,10.21783102,10.95189599
GSM435763,7.294590727,6.8701039,10.16603774,6.976182361,12.35631438,11.46241797,8.867736375,6.999524682,10.68861504
GSM435764,7.428365882,7.027389041,10.18652599,7.015693892,11.94822591,11.58418419,9.499570363,7.903843598,10.8311019
GSM435765,8.366131794,6.821796186,10.19674942,7.754996404,11.84370685,11.40137737,9.659795417,8.653420726,10.57598296
GSM435766,6.694955541,7.023930179,10.24861013,7.006598763,12.05480884,11.49380783,9.077097545,6.856799419,10.09238533
GSM435767,7.486984039,7.229602635,10.05055004,6.750124687,11.57994985,11.37626488,9.132885146,7.640337566,10.60535801
GSM435768,7.6432768,7.017010179,9.984526494,6.901304389,11.64916836,11.38421193,9.305503614,9.456595351,10.52211622
GSM435769,8.655784435,6.872092212,11.1101461,9.307289862,11.86826619,11.42648222,9.788385808,11.18411059,10.49890934
GSM435770,9.59767036,6.583792135,10.83106941,8.692491489,12.11396794,11.39635998,8.924084619,9.943000283,10.53122461
GSM435771,9.222247624,6.293616843,10.57007522,8.524600405,11.33681236,11.21059418,9.060770645,7.847225264,10.54055566
GSM473654,178.5,86.2,1611.6,1018.2,227.2,1243.4,88.1,343.4,379.8
GSM473655,263.2,227.2,1554.3,957,308.1,1457.6,148.7,328.7,392.3
GSM473656,167.9,57.5,1781.6,1113.1,301.9,1081.5,192.5,186.9,285.3
GSM473657,52.3,321.8,2893.2,1315,46.7,2229.9,341.5,18212.5,723.4
