features,Nearest Neighbors,Linear SVM,RBF SVM,Decision Tree,Random Forest,AdaBoost,LogisticRegression
"(6, 7)",0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998
"(6, 8)",0.4705882352941177,0.63157894736842102,0.63157894736842102,0.5,0.5,0.63157894736842102,0.4705882352941177
"(7, 8)",0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718
"(0, 1, 2)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(0, 1, 3)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 4)",0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.66666666666666663
"(0, 1, 6)",0.80000000000000004,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 1, 7)",0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
"(0, 1, 8)",0.92307692307692302,0.5,0.5,0.90909090909090906,0.92307692307692302,0.92307692307692302,0.5
"(0, 2, 3)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 4)",0.80000000000000004,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.80000000000000004
"(0, 2, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 7)",1.0,1.0,1.0,1.0,1.0,0.92307692307692302,1.0
"(0, 2, 8)",0.8571428571428571,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 3, 4)",0.90909090909090906,1.0,1.0,1.0,1.0,1.0,0.90909090909090906
"(0, 3, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 3, 7)",0.90909090909090906,1.0,1.0,1.0,0.90909090909090906,1.0,0.90909090909090906
"(0, 3, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 4, 6)",0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
"(0, 4, 7)",0.80000000000000004,0.8571428571428571,0.8571428571428571,0.92307692307692302,0.8571428571428571,0.8571428571428571,0.80000000000000004
