ID_REF,GSM473654,GSM473655,GSM473656,GSM473657,GSM473658,GSM473659,GSM473660,GSM473661,GSM473662,GSM473663,GSM473664,GSM473665
247900_at,2144.4,2101.7,1811,2592.6,2468.6,2207,2329.5,2092.2,2243.5,3051.4,2877,2486.8
247901_at,148.3,221.7,326.5,266.6,258.9,305.9,193.1,144.1,108.1,193,186,172.2
247902_at,2740.9,2517.7,2620.2,3260.9,2848.7,2238.2,2662.8,2204,1873.4,3712.7,3997.3,4120.1
247903_at,996.3,1109.1,741.6,306.9,266,276.3,801.2,627.9,565.4,237.1,273.6,202.5
247904_at,123.1,154.7,166,129.5,163.3,88.9,17.5,187.5,149.7,101.8,147.4,167.4
247905_at,33.5,142.8,30.5,6,1.9,40.4,8.7,3.7,12.7,2.8,10.7,50.1
247906_at,71.1,48.1,85.2,43.5,49.8,5.8,16.4,49.9,45.2,23.6,3.6,50
247907_at,609.8,493.7,631.9,542,530.4,749.8,516.9,681.6,421.7,592.6,596.5,472.1
247908_at,522.9,338.6,364.3,180.6,254.4,212.6,459.1,235.4,349.8,199.1,253.1,225.4
247909_at,294.5,373.1,474.6,246.3,263.5,349.9,267.3,231.4,501.6,345.5,342.1,222.3
247910_at,23.4,176.7,31.3,110.5,123.9,107.1,110.2,223.5,40.9,132.3,194.2,120
247911_at,6.4,21.5,13.1,3.7,4.6,40.7,20.9,10.5,22.1,3.4,8.5,6.7
247912_at,50.1,57.3,106.9,36.3,22.4,14.5,29.6,34.5,20.3,42.7,70.7,103.5
247913_at,15.1,77.9,20.3,97.4,100.2,19.4,8.3,42.8,26.1,85.9,193.8,69.3
247914_at,14.6,22.1,8,2.6,11.5,8.5,24.8,4.2,9.8,3.8,7.2,11.4
247915_at,23.4,9,67.8,33.2,74.2,6.2,17,11.6,19.8,28,51.4,25.8
247916_at,110.1,220,197.2,182.9,180,135.8,194.2,230.7,118.5,199.6,215.2,81.9
247917_at,8.1,16.9,26.9,35.4,11.7,14.5,9.2,49.8,15.9,33.4,29.6,14.9
247918_at,491.8,734.2,311.7,505.4,659.8,687.4,595.1,440.9,361.8,602.8,469.7,447.3
247919_at,51.4,79.2,127.9,50.2,9.3,51.9,60.1,26.9,35.1,2.6,10.1,77.4
247920_at,7.5,31,17.5,11.3,27.6,7.9,66.4,6.4,20.4,11.9,46.6,70.8
247921_at,4589.6,4141.7,5619.6,2534.5,2511.8,3318.6,4856.9,3742.8,2801.9,2456.1,2319.4,2254.3
247922_at,85.8,218.6,105.7,73.5,39.3,86,139.3,141.2,146.4,51.8,124.9,121.9
247923_at,774.2,788.8,783.8,929.8,908.1,1099.6,829.6,833.2,836.8,766.8,723.5,883.2
247924_at,854.7,695.8,640.5,591.5,590.9,2041.4,556.8,543,748.3,514.2,962.4,602.4
247925_at,3194.9,2823.5,3587,284.1,343.5,8955.4,2570,3879,4171.7,542.7,546.5,463.8
247926_at,163.7,337.7,161.8,442.5,411.1,346.4,259.3,281.6,510.6,556.9,431.9,617
247927_at,6.5,3.4,15.5,10,7.2,64.4,5.4,3.7,67.7,8.1,77.7,91.4
247928_at,163.9,82.2,270.6,172.6,117.7,51.1,34.8,36.7,28.8,74.4,165.5,69.3
247929_at,1641.2,1691.6,1492.1,1712.1,1875.2,1335.1,1539.5,1534.4,1147.5,1718.8,1439,1614.2
247930_at,260.5,160,214.4,203.7,198.1,263.3,175.1,263.3,291.1,186.2,155.4,264.7
247931_at,4582,3371.5,3557.9,2031.8,1716.7,1826.1,3040,3228.1,3385.1,1818.9,1439.6,1744.8
247932_at,54.3,87.6,126.4,10.8,12,104,16.2,64.6,29.1,13.8,10.8,11.7
247933_at,218.3,262.6,97.9,307,114.9,494.2,221.3,307.9,361.3,177,157.1,157.3
247934_at,293.1,341.8,292.7,295.1,222.4,271.6,201.5,411.1,165.1,219.4,234.8,202.9
247935_at,970.1,890.4,612,868.2,870.9,558.5,846.8,844.1,923.1,907.8,741.9,676
247936_at,1946.3,1867.8,1718.8,1584.7,1353.5,1366.9,2088,1906.4,1997.1,1277.6,1241.8,1152.4
247937_at,287.8,209.7,400.4,127.5,84.1,104.8,105.5,306.3,325.6,147,114.4,211.4
247938_at,161.9,95.3,162.2,88,87.2,105.6,83.8,5.1,186.3,82.2,20.9,101.4
247939_at,67.8,245.1,165.6,251.3,179.6,158.7,163.7,133.4,210.9,191.1,112,144.2
247940_at,146.4,89.9,186.9,105.2,70.3,46.3,109.6,108.6,177.7,62.3,99.2,34.6
247941_at,44.9,9.7,30,24.7,33.8,5.2,4.5,57.6,97.7,38.5,37.3,121.1
247942_at,248.6,198.1,194.5,280.8,298.4,211.3,228,286.6,29.5,247.4,391.1,213
247943_at,1126.8,1172.4,1137.3,563.4,622.2,362.3,1002.6,1216.2,1205.6,596.1,513.4,512.2
247944_at,209.1,141.6,129.6,159.5,159.4,106.8,129.2,143.4,316.2,98.5,90.2,180.9
247945_at,251,439.4,306.3,499.6,513.7,482,318.8,384.6,117.3,264.3,292.6,464.2
247946_at,507.7,414.9,510.1,662,676.4,642,490.6,554.1,455.1,676.1,587.8,637
247947_at,59.9,9.7,10.9,35.6,9.9,34.8,113.4,15.6,14.3,9.9,56.7,35.1
247948_at,106.1,169.3,24.2,76,36.3,52.8,116.3,110.5,103,74.4,125.2,126.1
247949_at,43.6,41,53.5,7.6,5.7,94.9,101.3,88,13.7,33.3,22.6,95.9
247950_at,129.7,239.6,196.4,196,179.9,343.6,278.3,238.1,356.1,160.2,119.6,155.3
247951_at,12.4,98.8,11.1,84.9,81.2,15.1,116.7,20.4,78.7,4.4,16.6,11.7
247952_at,165.1,86.9,214.7,108.7,62.5,117,140,169.9,181.9,117.6,111.8,88.4
247953_at,11.8,14.1,10,49.3,13,5.2,5.6,83.1,17.1,7.1,12.5,24
247954_at,86,185.6,160.3,235.7,289.3,643.5,138.9,161.5,33.5,312.6,366.5,387.4
247955_at,197.6,334,252.7,411.6,357.3,661.9,363,408.4,484.1,399.6,261.2,432.6
247956_at,8.3,138.9,14.3,69.6,55.1,103.1,9.1,96.5,18.3,14.1,71.2,245.8
247957_at,175,305,179.2,177.5,111.2,270.7,292,195.9,16,147.2,182.3,146.2
247958_at,40.4,123.7,54.7,113.2,101.4,191,127.3,35,109,83.6,83.3,252.8
247959_at,236.7,122.7,152.7,153.2,119,62.1,184.2,184.8,34.4,105.4,111.5,159.6
247960_at,1222.8,1305.1,1135.2,1407.5,1367,1377.8,1380.4,1570.9,801.5,1536.7,1802.1,1586.7
247961_at,32,47.7,76,3.8,19,12.8,10.7,30.5,11,10.2,4.1,3.3
247962_at,145.3,70.7,160.5,58.8,50.7,90.8,125,181,114.1,98.1,11.8,148.4
247963_at,202.7,333,196.1,214.3,188.8,180.6,267.9,274.8,293.8,235.7,358,231.5
247964_at,1320.3,1972.1,1378.7,1376.6,1430.6,887.1,1363.3,1522.2,1496.4,1416.4,1774.3,1189.4
247965_at,27.7,42.5,176.4,148.1,113.9,114.7,79.1,143,146.2,144.4,128,164.7
247966_at,132.9,41.9,244.5,165.3,178.3,95.2,133.7,179.4,86.5,236.5,213.8,285.1
247967_at,15.3,35,9.2,39.1,3.7,12.5,10.2,68.2,24.6,5.4,14.5,55.7
247968_at,4186.2,4182.4,3540,5082.1,4844,3344.1,4015.4,4193.5,5157.8,5843.6,4809.6,4653.1
247969_at,50.2,4.4,65.7,19.9,2.9,32.5,9.6,13,14.8,37.6,10.6,8.8
247970_at,33.6,72.9,10.4,52.2,16,98.8,99.4,70.5,41.2,17,52.4,105.1
247971_at,299.1,248.4,309.7,230.7,236.9,242.3,266.4,228.4,133.8,222.3,321.1,274.6
247972_at,388.5,349.9,516.4,417.7,556.4,421.6,517.3,441.4,496.8,449.1,521.3,501.7
247973_at,64.3,66.8,151.8,10.2,50.3,84.4,58.4,78.8,154.3,77.7,8.1,33.3
247974_at,24.7,9.8,12.2,44.9,37.9,67.6,6.9,19.3,20.3,6.3,5.2,109.3
